album,name,popularity,duration_ms
"Whatever People Say I Am, That's What I'm Not",The View From The Afternoon,62,222946
"Whatever People Say I Am, That's What I'm Not",I Bet You Look Good On The Dancefloor,75,173680
"Whatever People Say I Am, That's What I'm Not",Fake Tales Of San Francisco,66,177946
"Whatever People Say I Am, That's What I'm Not",Dancing Shoes,62,141133
"Whatever People Say I Am, That's What I'm Not",You Probably Couldn't See For The Lights But You Were Staring Straight At Me,57,130813
"Whatever People Say I Am, That's What I'm Not",Still Take You Home,59,173666
"Whatever People Say I Am, That's What I'm Not",Riot Van,60,134933
"Whatever People Say I Am, That's What I'm Not",Red Light Indicates Doors Are Secured,58,143626
"Whatever People Say I Am, That's What I'm Not",Mardy Bum,73,175440
"Whatever People Say I Am, That's What I'm Not",Perhaps Vampires Is A Bit Strong But…,57,268626
"Whatever People Say I Am, That's What I'm Not",When The Sun Goes Down,76,202133
"Whatever People Say I Am, That's What I'm Not",From The Ritz To The Rubble,69,193426
"Whatever People Say I Am, That's What I'm Not",A Certain Romance,67,331200
Favourite Worst Nightmare,Brianstorm,71,172866
Favourite Worst Nightmare,Teddy Picker,72,165000
Favourite Worst Nightmare,D is for Dangerous,62,138106
Favourite Worst Nightmare,Balaclava,62,171226
Favourite Worst Nightmare,Fluorescent Adolescent,78,183893
Favourite Worst Nightmare,Only Ones Who Know,66,184760
Favourite Worst Nightmare,Do Me a Favour,69,209253
Favourite Worst Nightmare,This House is a Circus,59,191680
Favourite Worst Nightmare,"If You Were There, Beware",59,276200
Favourite Worst Nightmare,The Bad Thing,59,145213
Favourite Worst Nightmare,Old Yellow Bricks,69,193226
Favourite Worst Nightmare,505,88,253586
Humbug,My Propeller,63,205746
Humbug,Crying Lightning,71,224826
Humbug,Dangerous Animals,55,210666
Humbug,Secret Door,64,223066
Humbug,Potion Approaching,55,212133
Humbug,Fire And The Thud,53,237533
Humbug,Cornerstone,68,197973
Humbug,Dance Little Liar,60,283493
Humbug,Pretty Visitors,62,220506
Humbug,The Jeweller's Hands,53,344053
Suck It and See,She's Thunderstorms,61,234920
Suck It and See,Black Treacle,60,217440
Suck It and See,Brick By Brick,53,179906
Suck It and See,The Hellcat Spangled Shalalala,54,180373
Suck It and See,Don't Sit Down 'Cause I've Moved Your Chair,62,183506
Suck It and See,Library Pictures,54,142173
Suck It and See,All My Own Stunts,50,232280
Suck It and See,Reckless Serenade,54,162746
Suck It and See,Piledriver Waltz,63,203880
Suck It and See,Love is a Laserquest,65,191426
Suck It and See,Suck It and See,63,225986
Suck It and See,That's Where You're Wrong,55,256800
AM,Do I Wanna Know?,65,272394
AM,R U Mine?,59,201726
AM,One For The Road,47,206051
AM,Arabella,55,207356
AM,I Want It All,43,185406
AM,No. 1 Party Anthem,45,243131
AM,Mad Sounds,41,215011
AM,Fireside,43,181049
AM,Why'd You Only Call Me When You're High?,64,161123
AM,Snap Out Of It,55,193030
AM,Knee Socks,52,257563
AM,I Wanna Be Yours,65,183956
Tranquility Base Hotel & Casino,Star Treatment,59,354640
Tranquility Base Hotel & Casino,One Point Perspective,59,208640
Tranquility Base Hotel & Casino,American Sports,52,158040
Tranquility Base Hotel & Casino,Tranquility Base Hotel & Casino,59,212093
Tranquility Base Hotel & Casino,Golden Trunks,51,173626
Tranquility Base Hotel & Casino,Four Out Of Five,61,312346
Tranquility Base Hotel & Casino,The World's First Ever Monster Truck Front Flip,50,180013
Tranquility Base Hotel & Casino,Science Fiction,50,185906
Tranquility Base Hotel & Casino,She Looks Like Fun,51,182560
Tranquility Base Hotel & Casino,Batphone,51,271613
Tranquility Base Hotel & Casino,The Ultracheese,53,217720
